movie,return_ratio,year,tconst,genres,studio,averagerating,numvotes
Tomorrowland,0.7650814117647059,2015,tt1964418,Family,BV,6.4,161343
Alice Through the Looking Glass,1.0821793705882352,2016,tt2567026,Adventure,BV,6.2,79951
Alice Through the Looking Glass,1.0821793705882352,2016,tt2567026,Family,BV,6.2,79951
Alice Through the Looking Glass,1.0821793705882352,2016,tt2567026,Fantasy,BV,6.2,79951
Shrek Forever After,5.030190666666667,2010,tt0892791,Adventure,P/DW,6.3,167532
Shrek Forever After,5.030190666666667,2010,tt0892791,Animation,P/DW,6.3,167532
Shrek Forever After,5.030190666666667,2010,tt0892791,Comedy,P/DW,6.3,167532
Doctor Strange,4.509372642424243,2016,tt1211837,Action,BV,7.5,514510
Doctor Strange,4.509372642424243,2016,tt1211837,Adventure,BV,7.5,514510
Doctor Strange,4.509372642424243,2016,tt1211837,Fantasy,BV,7.5,514510
Big Hero 6,4.30094336969697,2014,tt2245084,Action,BV,7.8,371204
Big Hero 6,4.30094336969697,2014,tt2245084,Adventure,BV,7.8,371204
Big Hero 6,4.30094336969697,2014,tt2245084,Animation,BV,7.8,371204
How to Train Your Dragon,3.3178922666666666,2010,tt0892769,Action,P/DW,8.1,611299
How to Train Your Dragon,3.3178922666666666,2010,tt0892769,Adventure,P/DW,8.1,611299
How to Train Your Dragon,3.3178922666666666,2010,tt0892769,Animation,P/DW,8.1,611299
Wreck-It Ralph,3.1571163515151515,2012,tt1772341,Adventure,BV,7.7,344496
Wreck-It Ralph,3.1571163515151515,2012,tt1772341,Animation,BV,7.7,344496
Wreck-It Ralph,3.1571163515151515,2012,tt1772341,Comedy,BV,7.7,344496
Interstellar,4.178165266666666,2014,tt0816692,Adventure,Par.,8.6,1299334
Interstellar,4.178165266666666,2014,tt0816692,Drama,Par.,8.6,1299334
Interstellar,4.178165266666666,2014,tt0816692,Sci-Fi,Par.,8.6,1299334
Independence Day: Resurgence,1.9534164242424243,2016,tt1628841,Action,Fox,5.2,155344
Independence Day: Resurgence,1.9534164242424243,2016,tt1628841,Adventure,Fox,5.2,155344
Independence Day: Resurgence,1.9534164242424243,2016,tt1628841,Sci-Fi,Fox,5.2,155344
Aquaman,8.26222779375,2018,tt1477834,Action,WB,7.1,263328
Aquaman,8.26222779375,2018,tt1477834,Adventure,WB,7.1,263328
Aquaman,8.26222779375,2018,tt1477834,Fantasy,WB,7.1,263328
Inception,6.05063023125,2010,tt1375666,Action,WB,8.8,1841066
Inception,6.05063023125,2010,tt1375666,Adventure,WB,8.8,1841066
Inception,6.05063023125,2010,tt1375666,Sci-Fi,WB,8.8,1841066
The Hunger Games: Mockingjay - Part 2,4.81694180625,2015,tt1951266,Action,LGF,6.6,252384
The Hunger Games: Mockingjay - Part 2,4.81694180625,2015,tt1951266,Adventure,LGF,6.6,252384
The Hunger Games: Mockingjay - Part 2,4.81694180625,2015,tt1951266,Sci-Fi,LGF,6.6,252384
The Sorcerer's Apprentice,0.75710819375,2010,tt0963966,Action,BV,6.1,143862
The Sorcerer's Apprentice,0.75710819375,2010,tt0963966,Adventure,BV,6.1,143862
The Sorcerer's Apprentice,0.75710819375,2010,tt0963966,Family,BV,6.1,143862
Warcraft,1.9546746,2016,tt0803096,Action,Uni.,6.9,225557
Warcraft,1.9546746,2016,tt0803096,Adventure,Uni.,6.9,225557
Warcraft,1.9546746,2016,tt0803096,Fantasy,Uni.,6.9,225557
Deepwater Horizon,0.17972660897435896,2016,tt1860357,Action,LG/S,7.1,133303
Deepwater Horizon,0.17972660897435896,2016,tt1860357,Drama,LG/S,7.1,133303
Deepwater Horizon,0.17972660897435896,2016,tt1860357,History,LG/S,7.1,133303
The Chronicles of Narnia: The Voyage of the Dawn Treader,2.3714445161290323,2010,tt0980970,Adventure,Fox,6.3,129663
The Chronicles of Narnia: The Voyage of the Dawn Treader,2.3714445161290323,2010,tt0980970,Family,Fox,6.3,129663
The Chronicles of Narnia: The Voyage of the Dawn Treader,2.3714445161290323,2010,tt0980970,Fantasy,Fox,6.3,129663
War for the Planet of the Apes,3.1873186118421053,2017,tt3450958,Action,Fox,7.5,201943
War for the Planet of the Apes,3.1873186118421053,2017,tt3450958,Adventure,Fox,7.5,201943
War for the Planet of the Apes,3.1873186118421053,2017,tt3450958,Drama,Fox,7.5,201943
Wonder Woman,7.22464524,2017,tt0451279,Action,WB,7.5,487527
Wonder Woman,7.22464524,2017,tt0451279,Adventure,WB,7.5,487527
Wonder Woman,7.22464524,2017,tt0451279,Fantasy,WB,7.5,487527
Frozen,10.15471946,2013,tt2294629,Adventure,BV,7.5,516998
Frozen,10.15471946,2013,tt2294629,Animation,BV,7.5,516998
Frozen,10.15471946,2013,tt2294629,Comedy,BV,7.5,516998
Zootopia,8.071319093333333,2016,tt2948356,Adventure,BV,8.0,383446
Zootopia,8.071319093333333,2016,tt2948356,Animation,BV,8.0,383446
Zootopia,8.071319093333333,2016,tt2948356,Comedy,BV,8.0,383446
Moana,4.90849606,2016,tt3521164,Adventure,BV,7.6,224253
Moana,4.90849606,2016,tt3521164,Animation,BV,7.6,224253
Moana,4.90849606,2016,tt3521164,Comedy,BV,7.6,224253
Thor: The Dark World,4.673097706666667,2013,tt1981115,Action,BV,6.9,540996
Thor: The Dark World,4.673097706666667,2013,tt1981115,Adventure,BV,6.9,540996
Thor: The Dark World,4.673097706666667,2013,tt1981115,Fantasy,BV,6.9,540996
Dunkirk,3.5993709866666665,2017,tt5013056,Action,WB,7.9,466580
