title,year,popularity,vote_average,vote_count
Ice Quake,2010,4.635,4.2,32
Love and the City 2,2010,4.604,5.7,12
Listen to Your Heart,2010,4.602,7.6,59
Deadly Impact,2010,4.588,4.7,20
Jack Goes Boating,2010,4.587,6.1,57
Carancho,2011,4.554,6.6,59
Farewell Mr. Kringle,2010,4.539,6.4,10
Monster Truck Mater,2010,4.494,5.6,23
Ishqiya,2010,4.48,6.4,30
How to Make Love to a Woman,2010,4.459,4.6,26
The Infidel,2010,4.434,6.0,59
Wake,2009,4.39,4.8,23
A Somewhat Gentle Man,2010,4.381,6.3,43
My Girlfriend's Boyfriend,2010,4.378,5.9,68
"Happy, Happy",2010,4.32,6.2,18
Dark World,2010,4.319,4.3,24
Luster,2010,4.309,5.1,7
Rammbock: Berlin Undead,2010,4.302,6.0,59
Bear,2010,4.288,3.5,9
The River Why,2010,4.282,5.7,31
Alien Girl,2010,4.274,6.7,11
Anjaana Anjaani,2010,4.265,6.1,47
Letters to God,2010,4.242,6.9,71
Abandoned,2010,4.233,4.8,65
The Six Wives of Henry Lefay,2010,4.203,5.3,40
DC Showcase: Green Arrow,2010,4.2,7.2,54
Never Sleep Again: The Elm Street Legacy,2010,4.197,8.2,63
Love and Distrust,2010,4.196,4.7,16
The Wildest Dream,2010,4.194,7.2,20
Beatdown,2010,4.193,5.1,13
Miss Nobody,2010,4.145,4.9,20
The Terror Experiment,2010,4.145,4.4,14
Kandahar,2010,4.14,6.7,19
Bill Burr: Let It Go,2010,4.138,7.9,44
Malice in Wonderland,2010,4.097,5.7,28
Dinoshark,2010,4.084,4.2,21
Tri bogatyrya i Shamakhanskaya tsaritsa,2010,4.081,5.9,30
Coco Chanel & Igor Stravinsky,2010,4.057,6.3,50
The Daisy Chain,2010,4.047,5.2,35
Middle of Nowhere,2010,4.046,5.9,35
Darling,2010,4.029,4.9,8
My Führer,2010,4.018,5.2,38
Airline Disaster,2010,3.985,3.2,15
Bitter Feast,2010,3.973,5.4,27
Wrong Side of Town,2010,3.969,5.2,25
Space Dogs,2010,3.952,5.5,17
Ceremony,2010,3.952,5.2,33
Legendary,2010,3.948,6.4,50
The Stranger,2010,3.948,5.0,29
From Me To You,2010,3.9,6.5,37
The Crocodiles Strike Back,2010,3.9,6.4,30
I Hate Luv Storys,2010,3.867,6.1,51
Nasha Russia: Yaytsa sudby,2010,3.867,4.3,25
Oblivion Island: Haruka and the Magic Mirror,2010,3.863,6.7,18
DC Showcase: The Spectre,2010,3.844,6.4,36
The People vs. George Lucas,2010,3.829,6.4,49
Christmas Mail,2010,3.793,5.4,29
Heavy Metal Mater,2010,3.787,5.7,19
As Good As Dead,2010,3.765,4.8,15
Hunter Prey,2010,3.738,5.6,51
Monte Walsh,1970,3.728,6.3,20
The Best and the Brightest,2010,3.728,4.5,11
Waste Land,2010,3.707,7.7,51
The Four Times,2010,3.702,7.6,45
Coyote Falls,2010,3.69,7.3,24
Frankie & Alice,2014,3.69,5.7,43
Black Heaven,2010,3.681,5.8,37
ExTerminators,2010,3.66,5.5,56
All About Evil,2010,3.659,5.6,30
Hidden Diary,2009,3.655,6.4,15
Tetsuo: The Bullet Man,2010,3.644,5.7,32
On Tour,2010,3.635,6.8,37
Lifted,2010,3.625,7.3,18
Order of Chaos,2010,3.613,4.4,12
Rock Slyde,2010,3.598,6.1,13
Tick Tock Tale,2010,3.587,8.0,39
First Dog,2010,3.585,6.2,17
Tracker,2010,3.581,6.7,29
RSC Live: Hamlet,2010,3.549,7.7,37
Beneath the Dark,2010,3.531,4.9,21
Veer,2010,3.526,5.7,24
Meteor Apocalypse,2010,3.513,3.8,12
Is It Just Me?,2010,3.51,6.1,34
Prep & Landing Stocking Stuffer: Operation: Secret Santa,2010,3.501,6.7,42
The Killing Jar,2010,3.496,5.7,27
The Edge,2010,3.49,6.0,21
Triple Dog,2010,3.479,5.9,59
Jack Hunter and the Lost Treasure of Ugarit,2010,3.471,6.8,8
Coach,2010,3.469,4.6,12
Stripped Naked,2010,3.463,4.3,6
Locked In,2010,3.454,4.2,12
Natalie,2010,3.44,5.0,9
Victim,2010,3.44,4.4,19
Delta,2010,3.429,5.8,9
Shrek’s Yule Log,2010,3.424,4.7,9
What if...,2010,3.423,6.6,29
A Family Thanksgiving,2010,3.406,5.2,9
Open House,2010,3.4,4.7,23
Zero,2010,3.366,7.4,35
Born to Raise Hell,2010,3.361,4.5,40
"Fat, Sick & Nearly Dead",2010,3.356,7.2,69
Needle,2010,3.356,5.1,24
The Trotsky,2010,3.355,6.3,43
Caged,2010,3.353,5.5,47
The Final Storm,2010,3.343,4.1,18
Amish Grace,2010,3.342,7.0,21
Jack and the Beanstalk,2009,3.342,5.2,38
Terribly Happy,2010,3.333,6.5,38
Kill Katie Malone,2010,3.332,4.2,15
November Christmas,2010,3.331,7.6,19
The First Grader,2010,3.331,7.0,51
The War Boys,2009,3.327,6.5,29
#1 Cheerleader Camp,2010,3.277,3.6,34
We Are from the Future 2,2010,3.275,5.3,25
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2010,3.264,3.4,59
Six Degrees of Celebration,2010,3.256,6.5,35
Mothman,2010,3.237,3.2,12
Gabriel Iglesias: Hot and Fluffy,2007,3.233,7.4,37
Sasha,2010,3.226,6.5,11
The Dead Matter,2010,3.221,3.7,6
Die-ner (Get It?),2010,3.22,3.3,12
Xtinction: Predator X,2010,3.219,3.3,17
Seeing Heaven,2012,3.209,3.7,9
Quantum Apocalypse,2010,3.177,3.6,38
Erratum,2010,3.154,6.6,7
The Heavy,2010,3.146,5.0,24
The Freebie,2010,3.137,4.8,12
Small Town Saturday Night,2010,3.136,6.2,17
The Dead Undead,2010,3.127,3.1,9
Sex & Drugs & Rock & Roll,2010,3.126,6.6,25
Aziz Ansari: Intimate Moments for a Sensual Evening,2010,3.125,6.6,28
Mortal Kombat: Rebirth,2010,3.121,7.2,52
Samson and Delilah,2010,3.115,6.1,25
Client 9: The Rise and Fall of Eliot Spitzer,2010,3.107,6.4,18
Dear Mr. Gacy,2010,3.104,6.4,40
You Should Meet My Son,2010,3.101,6.7,20
The Four-Faced Liar,2010,3.091,5.3,25
Rush: Beyond the Lighted Stage,2010,3.089,8.3,33
Mater Private Eye,2010,3.079,5.6,22
The Myth of the American Sleepover,2011,3.066,6.2,47
DMT: The Spirit Molecule,2010,3.057,6.2,40
The Seminarian,2010,3.055,5.8,8
The Reeds,2010,3.051,4.7,25
Lemmy,2010,3.047,7.4,51
Henri Georges Clouzot's Inferno,2010,3.045,7.1,21
Once Upon a Time in Mumbaai,2010,3.037,6.6,36
West Is West,2010,3.035,6.6,23
Mysterious Island,2010,3.031,4.3,12
Monsterwolf,2010,3.016,3.8,10
Atithi Tum Kab Jaoge?,2010,3.007,6.3,26
Holy Rollers,2010,2.992,5.9,43
Nothing Personal,2010,2.985,6.4,37
Call Me Mrs. Miracle,2010,2.983,5.4,22
Unidentified Flying Mater,2010,2.978,6.1,27
Cherry,2010,2.969,6.5,40
Mercy,2010,2.959,5.6,10
Ice Dreams,2010,2.945,6.0,11
The Presence,2010,2.944,4.2,37
American Grindhouse,2011,2.942,6.9,35
Brain Dead,2007,2.941,5.2,18
