id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
87,Wrath of the Titans,150000000.0,83670083.0,305270083.0,2012,March,1.59293444
88,Beowulf,150000000.0,82280579.0,195080579.0,2007,November,0.8490743866666667
89,Dark Shadows,150000000.0,79727149.0,238202668.0,2012,May,1.1195321133333334
90,White House Down,150000000.0,73103784.0,205440387.0,2013,June,0.85696114
91,The Wolfman,150000000.0,62189884.0,142634358.0,2010,February,0.36549494666666665
92,The Great Wall,150000000.0,45157105.0,334486852.0,2017,February,1.5309597133333332
93,Pan,150000000.0,35088320.0,151525973.0,2015,October,0.24409528666666666
94,Mars Needs Moms,150000000.0,21392758.0,39549758.0,2011,March,-0.59371656
95,Moonfall,150000000.0,0.0,0.0,2020,December,-1.0
96,Flushed Away,149000000.0,64665672.0,179357126.0,2006,November,0.637736899328859
97,Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,2012,June,5.643536227586207
98,Mission: ImpossibleâGhost Protocol,145000000.0,209397903.0,694713230.0,2011,December,5.235249193103448
99,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,2014,June,4.459235820689655
100,Tarzan,145000000.0,171091819.0,448191819.0,1999,June,3.2709216413793105
1,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,2014,March,1.6297438620689655
2,Rise of the Guardians,145000000.0,103412758.0,306900902.0,2012,November,1.8297493793103448
3,Sahara,145000000.0,68671925.0,121671925.0,2005,April,0.3127162068965517
4,Ghostbusters,144000000.0,128350574.0,229008658.0,2016,July,1.4816613333333333
5,Die Another Day,142000000.0,160942139.0,431942139.0,2002,November,3.1752413943661972
6,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,305411224.0,634954103.0,2003,July,5.716895192857143
7,Star Trek,140000000.0,257730019.0,386839614.0,2009,May,3.6040688071428573
8,Armageddon,140000000.0,201578182.0,554600000.0,1998,July,4.401272728571429
9,Men in Black 2,140000000.0,190418803.0,441767803.0,2002,July,3.515618614285714
10,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,2011,July,2.908744864285714
11,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,2016,January,3.72234115
12,Lethal Weapon 4,140000000.0,130444603.0,285400000.0,1998,July,1.970318592857143
13,G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,2013,March,2.5590268928571427
14,The Last Samurai,140000000.0,111110575.0,456810575.0,2003,December,3.056579642857143
15,Fun With Dick And Jane,140000000.0,110550000.0,203018919.0,2005,December,1.2397779928571429
16,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,2014,December,1.3809216142857144
17,The BFG,140000000.0,55483770.0,199646680.0,2016,July,0.8223603571428572
18,Gods of Egypt,140000000.0,31153464.0,138836756.0,2016,February,0.21421585714285715
19,Spider-Man,139000000.0,403706375.0,821706375.0,2002,May,7.8159190647482015
20,Watchmen,138000000.0,107509799.0,186976250.0,2009,March,1.1339568768115942
21,Stealth,138000000.0,32116746.0,76416746.0,2005,July,-0.21352542028985508
22,The Incredible Hulk,137500000.0,134806913.0,265573859.0,2008,June,1.91186016
23,Hulk,137000000.0,132177234.0,245075434.0,2003,June,1.753669109489051
24,Final Fantasy: The Spirits Within,137000000.0,32131830.0,85131830.0,2001,July,-0.14406087591240876
25,"The Twilight Saga: Breaking Dawn, Part 2",136200000.0,292324737.0,829724737.0,2012,November,7.238248707782673
