movie,return_ratio,year,tconst,genres,studio
R.I.P.D.,-0.13311128461538463,2013,tt0790736,"Action,Adventure,Comedy",Uni.
Night at the Museum: Secret of the Tomb,2.6811278897637796,2014,tt2692250,"Adventure,Comedy,Family",Fox
The Hunger Games: Mockingjay - Part 1,7.829688128,2014,tt1951265,"Action,Adventure,Sci-Fi",LGF
Fast Five,5.721558232,2011,tt1596343,"Action,Crime,Thriller",Uni.
Sherlock Holmes: A Game of Shadows,4.780094888,2011,tt1515091,"Action,Adventure,Crime",WB
The Boss Baby,4.48705436,2017,tt3874544,"Adventure,Animation,Comedy",Fox
Trolls,2.982857584,2016,tt1679335,"Adventure,Animation,Comedy",Fox
Prometheus,3.231402792,2012,tt1446714,"Adventure,Mystery,Sci-Fi",Fox
The Bourne Legacy,2.14847832,2012,tt1194173,"Action,Adventure,Thriller",Uni.
Skyscraper,1.980285232,2018,tt5758778,"Action,Adventure,Thriller",Uni.
Jason Bourne,3.8196769666666666,2016,tt4196776,"Action,Thriller",Uni.
Life of Pi,5.215825208333333,2012,tt0454876,"Adventure,Drama,Fantasy",Fox
Elysium,2.1603517333333335,2013,tt1535108,"Action,Drama,Sci-Fi",TriS
Oblivion,2.1418655666666666,2013,tt1483013,"Action,Adventure,Sci-Fi",Uni.
Fantastic Four,0.8663894583333334,2015,tt1502712,"Action,Adventure,Drama",Fox
The Wolverine,3.7740322086956524,2013,tt1430132,"Action,Adventure,Sci-Fi",Fox
Gulliver's Travels,1.4535456160714286,2010,tt1320261,"Adventure,Comedy,Family",Fox
Ferdinand,2.3716964864864867,2017,tt3411444,"Adventure,Animation,Comedy",Fox
Deadpool 2,9.102475381818182,2018,tt5463162,"Action,Adventure,Comedy",Fox
Gravity,7.798103436363636,2013,tt1454468,"Drama,Sci-Fi,Thriller",WB
San Andreas,4.558630645454546,2015,tt2126355,"Action,Adventure,Drama",WB (NL)
The Smurfs,5.421486190909091,2011,tt0472181,"Adventure,Animation,Comedy",Sony
The Green Hornet,1.9812322272727272,2011,tt0990407,"Action,Comedy,Crime",Sony
Real Steel,2.1758513636363634,2011,tt0433035,"Action,Drama,Family",BV
The A-Team,1.3133024545454546,2010,tt0429493,"Action,Adventure,Thriller",Fox
The Smurfs 2,2.8142300636363635,2013,tt2017020,"Adventure,Animation,Comedy",Sony
Ender's Game,0.7247315818181819,2013,tt1731141,"Action,Adventure,Fantasy",LG/S
The Martian,7.182454685185185,2015,tt3659388,"Adventure,Drama,Sci-Fi",Fox
Allied,0.5034408018867924,2016,tt3640424,"Action,Drama,Romance",Par.
Ice Age: Collision Course,3.4401875238095236,2016,tt3416828,"Adventure,Animation,Comedy",Fox
Kingsman: The Golden Circle,3.8946012884615384,2017,tt4649466,"Action,Adventure,Comedy",Fox
A Wrinkle in Time,1.2706843689320388,2018,tt1620680,"Adventure,Family,Fantasy",BV
Bumblebee,4.807756647058824,2018,tt4701182,"Action,Adventure,Sci-Fi",Par.
Cloud Atlas,0.5468767254901961,2012,tt1371111,"Action,Drama,Mystery",WB
Django Unchained,5.12753757,2012,tt1853728,"Drama,Western",Wein.
Little Fockers,3.59089174,2010,tt0970866,"Comedy,Romance",Uni.
The Other Guys,1.90156448,2010,tt1386588,"Action,Comedy,Crime",Sony
The Wolf of Wall Street,4.06771108,2013,tt0993846,"Biography,Crime,Drama",Par.
Epic,2.70313123,2013,tt0848537,"Adventure,Animation,Family",Fox
The Expendables 2,2.97007448,2012,tt1764651,"Action,Adventure,Thriller",LGF
The Tourist,2.46362526,2010,tt1243957,"Action,Adventure,Thriller",Sony
Legend of the Guardians: The Owls of Ga'Hoole,0.9539203,2010,tt1219342,"Action,Adventure,Animation",WB
The Expendables 3,1.48783922,2014,tt2333784,"Action,Adventure,Thriller",LGF
Green Zone,0.33020357,2010,tt0947810,"Action,Drama,Thriller",Uni.
Geostorm,1.54496169,2017,tt1981128,"Action,Sci-Fi,Thriller",WB
In the Heart of the Sea,0.14714067,2015,tt1390411,"Action,Adventure,Biography",WB
Transcendence,0.26061567,2014,tt2209764,"Action,Drama,Sci-Fi",WB
Mortal Engines,0.01238457,2018,tt1571234,"Action,Adventure,Fantasy",Uni.
The Peanuts Movie,2.8411113232323233,2015,tt2452042,"Adventure,Animation,Comedy",Fox
Alien: Covenant,2.2245698762886597,2017,tt2316204,"Horror,Sci-Fi,Thriller",Fox
Ice Age: Continental Drift,9.958810315789474,2012,tt1667889,"Adventure,Animation,Comedy",Fox
Sex and the City 2,3.1055628421052632,2010,tt1261945,"Comedy,Drama,Romance",WB (NL)
The Campaign,1.0191104421052632,2012,tt1790886,Comedy,WB
Unstoppable,1.6029880315789473,2010,tt0477080,"Action,Thriller",Fox
Rise of the Planet of the Apes,5.965014892473119,2011,tt1318514,"Action,Drama,Sci-Fi",Fox
A Good Day to Die Hard,3.039113,2013,tt1606378,"Action,Thriller",Fox
The Secret Life of Walter Mitty,1.704373857142857,2013,tt0359950,"Adventure,Comedy,Drama",Fox
Jumanji: Welcome to the Jungle,14.211167877777777,2017,tt2283362,"Action,Adventure,Comedy",Sony
Rio,6.012662422222222,2011,tt1436562,"Adventure,Animation,Comedy",Fox
Alvin and the Chipmunks: The Road Chip,2.7267215888888887,2015,tt2974918,"Adventure,Animation,Comedy",Fox
Pixels,2.5867532222222223,2015,tt2120120,"Action,Comedy,Sci-Fi",Sony
Percy Jackson: Sea of Monsters,1.9935456444444444,2013,tt1854564,"Adventure,Family,Fantasy",Fox
Now You See Me 2,3.371117188888889,2016,tt3110958,"Action,Adventure,Comedy",LG/S
Tomb Raider,2.6858700444444445,2018,tt1365519,"Action,Adventure,Fantasy",WB
The Nutcracker in 3D,-0.7704280555555556,2010,tt1041804,"Action,Family,Fantasy",Free
Divergent,4.023092470588235,2014,tt1840309,"Action,Adventure,Mystery",LG/S
Hotel Transylvania,5.197868941176471,2012,tt0837562,"Animation,Comedy,Family",Sony
Safe House,2.9379269647058823,2012,tt1599348,"Action,Adventure,Crime",Uni.
Tower Heist,1.6878766588235294,2011,tt0471042,"Action,Comedy,Crime",Uni.
Mirror Mirror,1.8064546941176471,2012,tt1667353,"Adventure,Comedy,Drama",Rela.
Arthur Christmas,1.3079952117647058,2011,tt1430607,"Adventure,Animation,Comedy",Sony
Cats & Dogs: The Revenge of Kitty Galore,0.8424957176470588,2010,tt1287468,"Action,Comedy,Family",WB
The Greatest Showman,5.678639571428572,2017,tt1485796,"Biography,Drama,Musical",Fox
The Expendables,3.528496317073171,2010,tt1320253,"Action,Adventure,Thriller",LGF
The Hunger Games,12.5741758875,2012,tt1392170,"Action,Adventure,Sci-Fi",LGF
The Hangover Part II,9.511607625,2011,tt1411697,"Comedy,Mystery",WB
Hotel Transylvania 2,6.9900051,2015,tt2510894,"Animation,Comedy,Family",Sony
Grown Ups 2,3.7586541625,2013,tt2191701,Comedy,Sony
Alvin and the Chipmunks: Chipwrecked,5.0274489,2011,tt1615918,"Adventure,Animation,Comedy",Fox
Shutter Island,4.34343395,2010,tt1130884,"Mystery,Thriller",Par.
Yogi Bear,2.8127587625,2010,tt1302067,"Adventure,Animation,Comedy",WB
The Book of Eli,2.16982345,2010,tt1037705,"Action,Adventure,Drama",WB
Smallfoot,2.71164225,2018,tt6182908,"Adventure,Animation,Comedy",WB
Zookeeper,2.1395798875,2011,tt1222817,"Comedy,Family,Romance",Sony
The Last Witch Hunter,0.97733215,2015,tt1618442,"Action,Adventure,Fantasy",LG/S
Pompeii,0.645475825,2014,tt1921064,"Action,Adventure,Drama",TriS
Journey 2: The Mysterious Island,4.3418538227848105,2012,tt1397514,"Action,Adventure,Comedy",WB (NL)
Jack and Jill,1.8440173924050633,2011,tt0810913,Comedy,Sony
Cloudy with a Chance of Meatballs 2,4.053669435897436,2013,tt1985966,"Adventure,Animation,Comedy",Sony
The Equalizer 2,2.799188233766234,2018,tt3766354,"Action,Crime,Thriller",Sony
Despicable Me 2,16.67476605263158,2013,tt1690953,"Adventure,Animation,Comedy",Uni.
The Secret Life of Pets,15.73513152,2016,tt2709768,"Adventure,Animation,Comedy",Uni.
Sing,11.063784453333334,2016,tt3470600,"Animation,Comedy,Family",Uni.
Despicable Me 3,16.324694,2017,tt3469046,"Adventure,Animation,Comedy",Uni.
