genres,return_ratio,year
Action,3.3178922666666666,2010
Adventure,3.3178922666666666,2010
Animation,3.3178922666666666,2010
Adventure,3.1571163515151515,2012
Animation,3.1571163515151515,2012
Comedy,3.1571163515151515,2012
Adventure,4.178165266666666,2014
Drama,4.178165266666666,2014
Sci-Fi,4.178165266666666,2014
Action,1.9534164242424243,2016
Adventure,1.9534164242424243,2016
Sci-Fi,1.9534164242424243,2016
Action,8.26222779375,2018
Adventure,8.26222779375,2018
Fantasy,8.26222779375,2018
Action,6.05063023125,2010
Adventure,6.05063023125,2010
Sci-Fi,6.05063023125,2010
Action,4.81694180625,2015
Adventure,4.81694180625,2015
Sci-Fi,4.81694180625,2015
Action,0.75710819375,2010
Adventure,0.75710819375,2010
Family,0.75710819375,2010
Action,1.9546746,2016
Adventure,1.9546746,2016
Fantasy,1.9546746,2016
Action,0.17972660897435896,2016
Drama,0.17972660897435896,2016
History,0.17972660897435896,2016
Adventure,2.3714445161290323,2010
Family,2.3714445161290323,2010
Fantasy,2.3714445161290323,2010
Action,3.1873186118421053,2017
Adventure,3.1873186118421053,2017
Drama,3.1873186118421053,2017
Action,7.22464524,2017
Adventure,7.22464524,2017
Fantasy,7.22464524,2017
Adventure,10.15471946,2013
Animation,10.15471946,2013
Comedy,10.15471946,2013
Adventure,8.071319093333333,2016
Animation,8.071319093333333,2016
Comedy,8.071319093333333,2016
Adventure,4.90849606,2016
Animation,4.90849606,2016
Comedy,4.90849606,2016
Action,4.673097706666667,2013
Adventure,4.673097706666667,2013
Fantasy,4.673097706666667,2013
Action,3.5993709866666665,2017
Drama,3.5993709866666665,2017
History,3.5993709866666665,2017
Action,3.2023816133333334,2011
Adventure,3.2023816133333334,2011
Fantasy,3.2023816133333334,2011
Action,4.533910733333333,2011
Adventure,4.533910733333333,2011
Animation,4.533910733333333,2011
Action,2.4915624933333334,2015
Adventure,2.4915624933333334,2015
Sci-Fi,2.4915624933333334,2015
Action,3.77986872,2018
Adventure,3.77986872,2018
Sci-Fi,3.77986872,2018
Action,2.00990712,2010
Adventure,2.00990712,2010
Family,2.00990712,2010
Action,1.59293444,2012
Adventure,1.59293444,2012
Fantasy,1.59293444,2012
Comedy,1.1195321133333334,2012
Fantasy,1.1195321133333334,2012
Horror,1.1195321133333334,2012
Action,0.85696114,2013
Drama,0.85696114,2013
Thriller,0.85696114,2013
Drama,0.36549494666666665,2010
Fantasy,0.36549494666666665,2010
Horror,0.36549494666666665,2010
Documentary,1.5309597133333332,2017
Adventure,0.24409528666666666,2015
Comedy,0.24409528666666666,2015
Family,0.24409528666666666,2015
Adventure,-0.59371656,2011
Animation,-0.59371656,2011
Family,-0.59371656,2011
Adventure,5.643536227586207,2012
Animation,5.643536227586207,2012
Comedy,5.643536227586207,2012
Action,4.459235820689655,2014
Adventure,4.459235820689655,2014
Animation,4.459235820689655,2014
Adventure,1.6297438620689655,2014
Animation,1.6297438620689655,2014
Comedy,1.6297438620689655,2014
Action,1.8297493793103448,2012
Adventure,1.8297493793103448,2012
Animation,1.8297493793103448,2012
Action,2.908744864285714,2011
Adventure,2.908744864285714,2011
Sci-Fi,2.908744864285714,2011
Action,3.72234115,2016
Adventure,3.72234115,2016
Animation,3.72234115,2016
Action,2.5590268928571427,2013
Adventure,2.5590268928571427,2013
Sci-Fi,2.5590268928571427,2013
Action,1.3809216142857144,2014
Adventure,1.3809216142857144,2014
Drama,1.3809216142857144,2014
Adventure,0.8223603571428572,2016
Family,0.8223603571428572,2016
Fantasy,0.8223603571428572,2016
Action,0.21421585714285715,2016
Adventure,0.21421585714285715,2016
Fantasy,0.21421585714285715,2016
Action,4.631384074074074,2013
Adventure,4.631384074074074,2013
Animation,4.631384074074074,2013
Action,4.307971822222222,2015
Adventure,4.307971822222222,2015
Biography,4.307971822222222,2015
Adventure,1.734831162962963,2011
Animation,1.734831162962963,2011
Comedy,1.734831162962963,2011
Adventure,1.7401830222222223,2013
Animation,1.7401830222222223,2013
Comedy,1.7401830222222223,2013
Action,1.425036851851852,2016
Adventure,1.425036851851852,2016
Comedy,1.425036851851852,2016
Adventure,0.6441698666666666,2011
Animation,0.6441698666666666,2011
Comedy,0.6441698666666666,2011
Adventure,0.6941516177577126,2018
Family,0.6941516177577126,2018
Fantasy,0.6941516177577126,2018
Adventure,2.4113139545454545,2014
Animation,2.4113139545454545,2014
Comedy,2.4113139545454545,2014
Action,8.919508415384616,2013
Adventure,8.919508415384616,2013
Sci-Fi,8.919508415384616,2013
Action,5.45994923076923,2018
Adventure,5.45994923076923,2018
Comedy,5.45994923076923,2018
Action,4.377389323076923,2015
Adventure,4.377389323076923,2015
Comedy,4.377389323076923,2015
Comedy,2.9498996615384616,2018
Family,2.9498996615384616,2018
Fantasy,2.9498996615384616,2018
Action,4.4172921615384615,2011
Adventure,4.4172921615384615,2011
Animation,4.4172921615384615,2011
Action,2.617715853846154,2010
Animation,2.617715853846154,2010
Comedy,2.617715853846154,2010
Adventure,3.802959430769231,2014
Animation,3.802959430769231,2014
Comedy,3.802959430769231,2014
Action,2.145860476923077,2010
